Level	Date and Time	Source	Event ID	Task Category
Information	16/12/2015 10:35:11	Microsoft-Windows-Dhcp-Client	50037	Service State Event	DHCPv4 client service is stopped. ShutDown Flag value is 1
Information	16/12/2015 10:35:11	Microsoft-Windows-DHCPv6-Client	51047	Service State Event	DHCPv6 client service is stopped. ShutDown Flag value is 1
Information	16/12/2015 10:35:11	EventLog	6006	None	The Event log service was stopped.
Information	16/12/2015 10:35:09	Microsoft-Windows-Winlogon	7002	(1102)	User Logoff Notification for Customer Experience Improvement Program
Error	16/12/2015 10:35:03	Service Control Manager	7031	None	The User Data Access_24d9e service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 10000 milliseconds: Restart the service.
Error	16/12/2015 10:35:03	Service Control Manager	7031	None	The User Data Storage_24d9e service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 10000 milliseconds: Restart the service.
Error	16/12/2015 10:35:03	Service Control Manager	7031	None	The Contact Data_24d9e service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 10000 milliseconds: Restart the service.
Error	16/12/2015 10:35:03	Service Control Manager	7031	None	The Sync Host_24d9e service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 10000 milliseconds: Restart the service.
Error	16/12/2015 10:35:03	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information	16/12/2015 10:35:02	User32	1074	None	"The process C:\Windows\System32\RuntimeBroker.exe (DESKTOP-A5MB3PB) has initiated the power off of computer DESKTOP-A5MB3PB on behalf of user DESKTOP-A5MB3PB\Graeme for the following reason: Other (Unplanned)
 Reason Code: 0x0
 Shutdown Type: power off
 Comment: "
Information	16/12/2015 09:32:34	Lfsvc	1	None	Geolocation positioning is enabled.
Information	16/12/2015 09:31:46	Microsoft-Windows-Winlogon	7001	(1101)	User Logon Notification for Customer Experience Improvement Program
Information	16/12/2015 09:31:10	Service Control Manager	7026	None	"The following boot-start or system-start driver(s) did not load: 
dam"
Information	16/12/2015 09:31:06	Microsoft-Windows-DHCPv6-Client	51046	Service State Event	DHCPv6 client service is started
Information	16/12/2015 09:31:06	Microsoft-Windows-Dhcp-Client	50036	Service State Event	DHCPv4 client service is started
Information	16/12/2015 09:31:06	Microsoft-Windows-Kernel-General	1	None	"The system time has changed to ‎2015‎-‎12‎-‎16T09:31:06.410000000Z from ‎2015‎-‎12‎-‎16T09:31:05.623011200Z.

Change Reason: An application or system component changed the time."
Information	16/12/2015 09:31:05	Microsoft-Windows-FilterManager	6	None	File System Filter 'storqosflt' (10.0, ‎2015‎-‎10‎-‎30T02:37:39.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 09:31:05	Microsoft-Windows-FilterManager	6	None	File System Filter 'luafv' (10.0, ‎2015‎-‎10‎-‎30T02:34:43.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 09:31:04	Microsoft-Windows-Wininit	14	None	Credential Guard (LsaIso.exe) configuration: 0x0, 0
